Type;Action;View;Record_name;Value;Alias Target/MX preferance;New_Record;New Value
TXT;Update;Common;canada.pearson.com;v=spf1 ip4:198.245.81.0/24 ip4:136.147.176.0/24 ip4:13.111.0.0/16 ip4:136.147.182.0/24  ip4:136.147.135.0/24 ip4:199.122.123.0/24 include:cust-spf.exacttarget.com include:spf.pearson.com  include:spf.protection.outlook.com include:sendgrid.net -all;;canada.pearson.com;v=spf1 include:_spf.canada.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;alerts.pearson.com;v=spf1 ip4:204.14.232.0/23 ip4:204.14.237.0/24 include:spf.protection.outlook.com include:spf.pearson.com -all;;alerts.pearson.com;v=spf1 include:_spf.alerts.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;eu.pearson.com;v=spf1 include:cust-spf.exacttarget.com include:spf.protection.outlook.com include:spf.pearson.com -all;;eu.pearson.com;v=spf1 include:_spf.eu.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;support.pearson.com;v=spf1 include:_spf.atoracle.com ip4:204.14.232.0/23 ip4:204.14.237.0/24 include:spf.pearson.com -all;;support.pearson.com;v=spf1 include:_spf.support.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;feedback.pearson.com;v=spf1 ip4:64.151.119.33 ip4:64.151.112.130 ip4:142.0.180.184 ip4:142.0.186.76  ip4:208.73.7.175 ip4:185.92.121.141 ip4:52.60.87.177 include:cust-spf.exacttarget.com  include:spf.pearson.com include:spf.protection.outlook.com  -all;;feedback.pearson.com;v=spf1 include:_spf.feedback.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;services.pearson.com;v=spf1 include:cust-spf.exacttarget.com include:spf.protection.outlook.com include:spf.pearson.com include:sendgrid.net -all;;services.pearson.com;v=spf1 include:_spf.services.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;grp.pearson.com;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com ip4:204.14.232.0/23 ip4:204.14.237.0/24 -all;;grp.pearson.com;v=spf1 include:_spf.grp.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;marketing.pearson.com;v=spf1 include:cust-spf.exacttarget.com include:spf.pearson.com include:spf.protection.outlook.com -all;;marketing.pearson.com;v=spf1 include:_spf.marketing.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;anz.pearson.com;v=spf1 include:spf.pearson.com include:spf.protection.outlook.com include:sendgrid.net  include:et._spf.pardot.com -all;;anz.pearson.com;v=spf1 include:_spf.anz.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;sales.pearson.com;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com ip4:162.242.197.196 ip4:208.117.51.229 -all;;sales.pearson.com;v=spf1 include:_spf.sales.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;uk.mail.pearson.com;v=spf1 ip4:13.111.54.73 include:et._spf.pardot.com include:cust-spf.exacttarget.com include:spf.protection.outlook.com include:spf.pearson.com -all;;uk.mail.pearson.com;v=spf1 include:_spf.uk.mail.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;accelerated.pearson.com;v=spf1 include:cust-spf.exacttarget.com -all;;accelerated.pearson.com;v=spf1 include:_spf.accelerated.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;brasil.pearson.com;v=spf1 ip4:204.14.232.0/23 ip4:204.14.237.0/24 include:spf.protection.outlook.com include:spf.pearson.com -all;;brasil.pearson.com;v=spf1 include:_spf.brasil.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;gr.pearson.com;v=spf1 include:spf-2248456.jmsend.com -all;;gr.pearson.com;v=spf1 include:_spf.gr.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;innerview.pearson.com;v=spf1 ip4:204.14.232.0/23 ip4:204.14.237.0/24 include:spf.protection.outlook.com include:spf.pearson.com -all;;innerview.pearson.com;v=spf1 include:_spf.innerview.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;learn.pearson.com;v=spf1 include:cust-spf.exacttarget.com include:spf.pearson.com include:spf.protection.outlook.com  include:sendgrid.net -all;;learn.pearson.com;v=spf1 include:_spf.learn.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;notifications.pearson.com;v=spf1   ip4:54.240.31.40/31 ip4:54.240.31.42/32 include:spf.protection.outlook.com  include:spf.pearson.com include:amazonses.com a:zgateway.zuora.com -all;;notifications.pearson.com;v=spf1 include:_spf.notifications.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;ocrm10.pearson.com;v=spf1 include:cust-spf.exacttarget.com include:spf.pearson.com include:spf.protection.outlook.com -all;;ocrm10.pearson.com;v=spf1 include:_spf.ocrm10.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;ocrm4.pearson.com;v=spf1 include:spf.pearson.com include:spf.protection.outlook.com include:sendgrid.net  include:et._spf.pardot.com -all;;ocrm4.pearson.com;v=spf1 include:_spf.ocrm4.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;opm.pearson.com;v=spf1 ip4:204.14.232.0/23 ip4:204.14.237.0/24 include:aspmx.pardot.com include:authsmtp.com -all;;opm.pearson.com;v=spf1 include:_spf.opm.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;oracle.pearson.com;v=spf1 ip4:204.14.232.0/23 ip4:204.14.237.0/24 include:spf.pearson.com include:spf.protection.outlook.com -all;;oracle.pearson.com;v=spf1 include:_spf.oracle.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;p2o.pearson.com;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com ~all;;p2o.pearson.com;v=spf1 include:_spf.p2o.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;rooms.pearson.com;v=spf1 ip4:204.14.232.0/23 ip4:204.14.237.0/24 include:spf.protection.outlook.com include:spf.pearson.com -all;;rooms.pearson.com;v=spf1 include:_spf.rooms.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;sg.pearson.com;v=spf1 ip4:204.14.232.0/23 ip4:204.14.237.0/24 include:spf.protection.outlook.com include:spf.pearson.com -all;;sg.pearson.com;v=spf1 include:_spf.sg.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;thinkfuture.pearson.com;v=spf1 ip4:195.69.215.57 ~all;;thinkfuture.pearson.com;v=spf1 include:_spf.thinkfuture.pearson_com._d.easydmarc.pro ~all
TXT;Update;Common;pearson.it;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com include:t.contactlab.it ~all;;pearson.it;v=spf1 include:_spf.pearson_it._d.easydmarc.pro ~all
