Type;Action;View;Record_name;Value;Alias Target/MX preferance;New_Record;New Value
TXT;Delete;common;_dmarc.connectionsacademytest.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionscourses.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionscourses.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionseducation.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionsfusion.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionsfusion.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionslearning.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionslearningfusion.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionslive.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionsliveteach.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectionsliveteach.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connectquest.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.connexuslearning.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.cyberschoolonwheels.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.debtfreescholar.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.degreemanager.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.eclg.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.edcoradvising.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.edcoradvising.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.edcoradvising.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.edexcel.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.edexcel.us;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.edexcelinternational.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.edexcel-international.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.edexcelonline.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.edexcelpastpapers.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.educationvendor.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.edxcel.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.exam2score.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.falconviewconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.fifty-fifty-series.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.fillmorevirtualacademy.info;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.flconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.floridaconnectionsacademy.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.floridaconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.founderscollege.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.freedomeducationpartners.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.fvconnectionsacademy.com;"v=DMARC1; p=reject";;;
