Type;Action;View;Record_name;Value;Alias Target/MX preferance;New_Record_UPDATE;New Value_UPDATE
TXT;Create;common;projectmanagementdegreeguides.org;v=spf1 -all;;;
TXT;Create;common;Promissor.com;v=spf1 -all;;;
TXT;Create;common;pteacademic.com;v=spf1 -all;;;
TXT;Create;common;publicadmindegrees.com;v=spf1 -all;;;
TXT;Create;common;publicrelationsdegreeguides.org;v=spf1 -all;;;
TXT;Create;common;realcity.dk.com;v=spf1 -all;;;
TXT;Create;common;regisonlinemph.org;v=spf1 -all;;;
TXT;Create;common;rntomsnguides.com;v=spf1 -all;;;
TXT;Create;common;rntomsnguides.org;v=spf1 -all;;;
TXT;Create;common;safari.informit.com;v=spf1 -all;;;
TXT;Create;common;schoolsuccess.com;v=spf1 -all;;;
TXT;Create;common;schoolsuccess.org;v=spf1 -all;;;
TXT;Create;common;smarthinking.net;v=spf1 -all;;;
TXT;Create;common;smarthinking.org;v=spf1 -all;;;
TXT;Create;common;snab.co.uk;v=spf1 -all;;;
TXT;Create;common;socialworkdegreeguides.net;v=spf1 -all;;;
TXT;Create;common;storystreet.co.uk;v=spf1 -all;;;
TXT;Create;common;talentlens.in;v=spf1 -all;;;
TXT;Create;common;teacher-courses.com;v=spf1 -all;;;
TXT;Create;common;teacher-degrees.com;v=spf1 -all;;;
TXT;Create;common;teachersadvance.org;v=spf1 -all;;;
TXT;Create;common;tfa.co.uk;v=spf1 -all;;;
TXT;Create;common;theinx.com;v=spf1 -all;;;
TXT;Create;common;thinkwatson.com;v=spf1 -all;;;
TXT;Create;common;topmbaschoolsguides.com;v=spf1 -all;;;
TXT;Create;common;topmbaschoolsguides.org;v=spf1 -all;;;
TXT;Create;common;usconlineprogrms.org;v=spf1 -all;;;
TXT;Create;common;wauwatosavirtualacademy.com;v=spf1 -all;;;
TXT;Create;common;worksamplingonline.net;v=spf1 -all;;;
TXT;Create;common;wsuonlinemba.com;v=spf1 -all;;;
TXT;Create;common;yourbookshop.co.uk;v=spf1 -all;;;
TXT;Create;common;zenos.info;v=spf1 -all;;;
TXT;Create;common;zenos.mobi;v=spf1 -all;;;
TXT;Create;common;br.pearson.com;v=spf1 redirect=_spf.pearson_com._d.easydmarc.pro;;;
TXT;Create;common;fbinterop.pearson.com;v=spf1 redirect=_spf.pearson_com._d.easydmarc.pro;;;
TXT;Create;common;gmigration.pearson.com;v=spf1 redirect=_spf.pearson_com._d.easydmarc.pro;;;
TXT;Create;common;edidata.edexcel.org.uk;v=spf1 redirect=_spf.edidata_edexcel_org_uk._d.easydmarc.pro;;;
